Year,ROE_Percent,ROE,ROE_Change,Next_Year_ROE,Next_Year_ROE_Change
2002,25.45,0.2545,,0.3012,0.04670000000000002
2003,30.12,0.3012,0.04670000000000002,0.185,-0.11620000000000003
2004,18.5,0.185,-0.11620000000000003,0.0824,-0.1026
2005,8.24,0.0824,-0.1026,0.152,0.0696
2006,15.2,0.152,0.0696,0.198,0.04600000000000001
2007,19.8,0.198,0.04600000000000001,0.105,-0.09300000000000001
2008,10.5,0.105,-0.09300000000000001,0.21850000000000003,0.11350000000000003
2009,21.85,0.21850000000000003,0.11350000000000003,0.135,-0.08350000000000002
2010,13.5,0.135,-0.08350000000000002,0.0625,-0.07250000000000001
2011,6.25,0.0625,-0.07250000000000001,0.0095,-0.053
2012,0.95,0.0095,-0.053,0.026000000000000002,0.0165
2013,2.6,0.026000000000000002,0.0165,0.018500000000000003,-0.0075
2014,1.85,0.018500000000000003,-0.0075,0.092,0.0735
2015,9.2,0.092,0.0735,0.12050000000000001,0.02850000000000001
2016,12.05,0.12050000000000001,0.02850000000000001,0.07400000000000001,-0.0465
2017,7.4,0.07400000000000001,-0.0465,0.0504,-0.02360000000000001
2018,5.04,0.0504,-0.02360000000000001,0.028399999999999998,-0.022000000000000002
2019,2.84,0.028399999999999998,-0.022000000000000002,0.075,0.0466
2020,7.5,0.075,0.0466,0.0373,-0.0377
2021,3.73,0.0373,-0.0377,0.16140000000000002,0.12410000000000002
2022,16.14,0.16140000000000002,0.12410000000000002,0.244,0.08259999999999998
2023,24.4,0.244,0.08259999999999998,0.2605,0.016500000000000015
2024,24.82,0.2482,-0.042,0.2482,0
